"","Critically Endangered","Endangered","Vulnerable","Least Concern","realm"
"1",0,272.264,9749.36,465217.019,"Sub-Antarctic"
"2",7439.09061072309,19581.9738704175,9474.70178921634,42653.7237132556,"Coastal"
"3",1146.9605998504,293.694898891699,247.662815625686,306.182713399572,"Estuarine"
"4",4995.76589528585,17747.4552205148,64183.0017023575,1827426.19817326,"Marine"
"5",43.3461783092481,6361.55643081684,9398.71855955885,13950.0208597469,"Wetland"
"6",66.4867391233058,10482.3758466711,72272.4702148347,96702.4055440735,"River"
"7",9175.1508,70047.4372,30431.9964,871290.4316,"Terrestrial"
