"","realm","pct_TH"
"1","Subantarctic",17.6470588235294
"2","Coastal",70.5263157894737
"3","Estuarine",90.9090909090909
"4","Marine",44.7852760736196
"5","Wetland",74.390243902439
"6","River",65.3153153153153
"7","Terrestrial",30.4535637149028
"8","Overall",49.3197278911565
