"","realm","Well Protected","Moderately Protected","Poorly Protected","Not Protected","Total"
"1","Sub-Antarctic",4894.156096,452717.823,2830.32,14796.3439,475238.643
"2","Coastal",7135.515079,35958.28599,20977.31725,19298.48966,83369.60798
"3","Estuarine",126,125428,55248,18648,199450
"4","Marine",27425.5116220478,63220.2141625952,941019.505915793,882687.189290986,1914352.42099142
"5","Wetland",1282,2119,13570,5153,22124
"6","River",5331,12297,115930,45965,179523
"7","Terrestrial",115596.14,184531.55,578750.07,339711.51,1218589.27
