"","Critically Endangered","Endangered","Vulnerable","Least Concern","realm","NT"
"1",0,272.264,9749.36,465217.019,"Sub-Antarctic",NA
"2",1146.9605998504,293.694898891699,247.662815625686,306.182713399572,"Estuarine",NA
"3",4995.76589528585,17747.4552205148,64183.0017023575,1827426.19817326,"Marine",NA
"4",5744.14840042173,4191.44762706109,995.490139462027,18822.555861487,"Wetland",NA
"5",89916.9935053103,44456.6773368823,1496.79799360627,43653.2695089037,"River",NA
"6",9175.1508,70047.4372,30431.9964,871290.4316,"Terrestrial",NA
"7",7439.09061072309,19581.9738704175,9474.70178921634,41785.5426288149,NA,868.18108444066
